condition,gene,avoid food,recommended food,why_recommended,
Hypertension,ACE,"Salt, Processed foods","Leafy greens, Bananas",Potassium-rich foods help balance blood pressure.,
Anemia,HBB,"Tea, Coffee, Calcium-rich foods with iron","Red meat, Spinach, Legumes",Iron and Vitamin C improve hemoglobin production.,
Hypothyroidism,TSHR,"Soy, Gluten, Cruciferous vegetables","Iodized salt, Selenium-rich foods",Supports thyroid hormone synthesis.,
Hyperthyroidism,TSHR,Iodine-rich foods,"Cruciferous vegetables, Dairy",Helps regulate thyroid overactivity.,
PCOS,FSHR,"Sugar, Refined carbs","Whole grains, Omega-3 foods",Balances insulin and hormone levels.,
GERD,N/A,"Caffeine, Spicy food","Oatmeal, Ginger, Bananas",Reduces acid reflux symptoms.,
Ulcer,N/A,"Spicy food, NSAIDs","Probiotics, Cabbage juice",Promotes gut healing and balances flora.,
Osteoporosis,VDR,"Sodium, Soft drinks","Calcium-rich foods, Vitamin D",Improves bone density and strength.,
Arthritis,TNF,"Red meat, Sugar","Fatty fish, Berries",Reduces inflammation in joints.,
Diarrhea,N/A,"Dairy, Greasy food","Bananas, Rice, Applesauce, Toast",BRAT diet helps digestion.,
Constipation,N/A,Processed food,"Fiber, Water, Whole grains",Improves bowel movement.,
Migraine,N/A,"Chocolate, Cheese",Magnesium-rich foods,Reduces frequency of migraines.,
Anxiety,SLC6A4,"Caffeine, Alcohol","Berries, Whole grains, Green tea",Supports brain health and calming.,
Depression,SLC6A4,"Alcohol, Sugar","Omega-3, Leafy greens",Boosts serotonin and mood.,
Obesity,FTO,"Sugar, Fried foods","Whole foods, Protein-rich diets",Regulates metabolism.,
Type 2 Diabetes,TCF7L2,"Sugar, Refined carbs","Fiber-rich foods, Cinnamon",Improves insulin sensitivity.,
Fatty Liver,PNPLA3,"Sugar, Fried food","Whole grains, Avocados",Reduces liver fat.,
Psoriasis,IL23R,"Red meat, Dairy","Omega-3, Turmeric",Anti-inflammatory effects on skin.,
Hair Loss,N/A,"Sugar, Oily food","Protein-rich foods, Iron",Nourishes hair follicles.,
Acne,N/A,"Dairy, Fried food","Zinc-rich foods, Watermelon",Reduces inflammation and oil.,
Dry Skin,N/A,"Alcohol, Salt","Omega-3, Water-rich fruits",Improves skin hydration.,
Insomnia,N/A,"Caffeine, Sugar","Chamomile tea, Banana",Helps induce sleep.,
Eczema,FLG,"Dairy, Gluten","Vitamin E, Fish oil",Soothes skin inflammation.,
Asthma,ORMDL3,"Cold drinks, Preservatives","Antioxidants, Magnesium",Relaxes airways.,
Thalassemia,HBB,Iron-rich food in excess,"Folate, Zinc",Supports red blood cells.,
Fever,N/A,Cold items,"Fluids, Broth, Fruits",Hydration and recovery.,
Sinusitis,N/A,"Dairy, Fried foods","Spicy food, Warm fluids",Opens sinuses and reduces mucus.,
Celiac Disease,HLA-DQ2,"Wheat, Barley, Rye","Gluten-free grains, Rice, Quinoa",Avoids autoimmune flare-ups.,
BRCA1 Mutation,BRCA1,"Alcohol, Smoking","Cruciferous vegetables, Fiber-rich foods",Anti-cancer support.,
Lactose Intolerance,LCT,"Milk, Cheese, Butter","Lactose-free milk, Soy milk",Avoids digestive issues.,
G6PD Deficiency,G6PD,"Fava beans, Sulfa drugs","Green vegetables, Vitamin C",Avoids oxidative stress.,
PKU,PAH,"Meat, Milk, Cheese, Eggs","Fruits, Vegetables, Low-protein formula",Reduces phenylalanine load.,
Migraine,N/A,"Caffeine, Aged cheese",Magnesium-rich foods,Reduces migraine frequency and severity,"headache, dizziness, pressure in head, migraine"
Conjunctivitis,N/A,"Dust, Smoke","Cool compress, Hydration",Soothes eye irritation and inflammation,"red eyes, itchy eyes, watery eyes, eye pain"
Otitis Media,N/A,Cold water exposure,"Warm compress, Fluids",Reduces ear pain and infection,"ear pain, hearing loss, ringing in ears"
Sinusitis,N/A,"Dairy, Fried foods","Spicy food, Warm fluids",Opens sinuses and reduces mucus,"nasal congestion, sneezing, sinus pressure"
Tonsillitis,N/A,Cold drinks,"Warm soup, Ginger tea",Reduces throat inflammation,"sore throat, difficulty swallowing, dry mouth"
Cervical Spondylosis,N/A,Poor posture,"Calcium, Anti-inflammatory foods",Supports spine health,"neck pain, stiff neck, shoulder pain"
Frozen Shoulder,N/A,Cold exposure,"Warm therapy, Protein foods",Reduces stiffness and supports mobility,"shoulder pain, limited movement"
Carpal Tunnel Syndrome,N/A,Repetitive hand use,"B6-rich foods, Anti-inflammatory diet",Supports nerve function,"hand pain, finger stiffness, numb fingers"
Coronary Artery Disease,N/A,"Fried foods, Red meat","Oats, Leafy greens",Improves heart function,"chest pain, tightness, shortness of breath"
Irritable Bowel Syndrome,N/A,"Dairy, Spicy food","Fiber-rich food, Peppermint",Regulates digestion,"abdominal pain, bloating, cramps, indigestion"
Sciatica,N/A,Prolonged sitting,Magnesium-rich foods,Relieves nerve pain,"lower back pain, leg numbness"
Polycystic Ovary Syndrome,FSHR,"Refined carbs, Sugar","Whole grains, Omega-3s",Balances hormones,"pelvic pain, irregular periods, acne"
Varicose Veins,N/A,"Salt, Alcohol",Flavonoid-rich foods,Improves circulation,"leg pain, heaviness, swelling"
Plantar Fasciitis,N/A,Improper footwear,"Protein, Anti-inflammatory foods",Reduces heel pain,"foot pain, heel pain, swelling"
Eczema,FLG,"Dairy, Processed foods","Vitamin E, Omega-3s",Improves skin barrier,"rash, itchy skin, dry skin"
Alopecia,N/A,"Stress, Sugar",Biotin-rich foods,Promotes hair growth,"hair loss, itchy scalp, oily scalp"
Chronic Fatigue,N/A,"Caffeine, Sugar","Iron-rich foods, Water",Boosts energy naturally,"fatigue, weakness, dizziness, insomnia"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Tooth Decay,AMELX,"Sugary snacks, Soda","Dairy, Calcium-rich foods",Strengthens enamel and reduces cavity risk,
Gingivitis,N/A,"Sticky sweets, Smoking","Leafy greens, Vitamin C",Promotes gum health and reduces inflammation,
Mouth Ulcers,N/A,"Spicy food, Citrus","Yogurt, B-complex foods",Helps heal and soothe mouth tissues,
Tonsil Stones,N/A,"Dairy, Processed meat","Water, Fresh fruits",Reduces mucus and bad breath,
Dry Mouth,N/A,"Caffeine, Alcohol","Water, Pineapple",Increases saliva and prevents bacterial growth,
